id,stratum,description,expected,actual,diff,tolerance,passed,assumption_flagged
I-1_baseline,I,Baseline case from the reviewer's worked example.,0.539915,0.5399148845555657,-1.1544443434541307e-07,0.0001,True,False
I-2_all_zero_inputs,I,Boundary: all indicators at 0.,0.377541,0.37754066879814546,-3.3120185455315365e-07,0.0001,True,False
I-3_all_one_inputs,I,Boundary: all indicators at 1 (weights sum to 1.0).,0.622459,0.6224593312018546,3.312018546086648e-07,0.0001,True,False
I-4_theta_zero_midpoint,I,theta=0 with X all at 0.5: should equal case I-3's z (both z=.5).,0.622459,0.6224593312018546,3.312018546086648e-07,0.0001,True,False
I-5_monotonicity_high_weight_indicator,I,"Monotonicity check A: raise x1 (highest weight, .5) from .8->.9 vs baseline I-1. Score MUST increase, and by more than raising a lower-weight indicator by the same amount (see I-6).",0.552308,0.5523079095743253,-9.042567472583585e-08,0.0001,True,False
I-6_monotonicity_low_weight_indicator,I,"Monotonicity check B: raise x3 (lowest weight, .2) from .4->.5 vs baseline I-1, same delta (+0.1) as I-5. Score must increase, but LESS than I-5 (Δ=+0.0050 here vs Δ=+0.0124 in I-5).",0.544879,0.5448788923735801,-1.0762641988737442e-07,0.0001,True,False
I-7_exact_threshold_crossing,I,Constructed so w.X exactly equals theta -> NOF must be exactly 0.5.,0.5,0.5,0.0,1e-09,True,False
I-17_zero_zero_calibration,I,"Both inputs and threshold at zero -> exact midpoint, independent invariant of I-7.",0.5,0.5,0.0,1e-09,True,False
I-18_theta_equals_max_possible_score,I,"theta set equal to the maximum possible w.X (weights sum to 1, X all at 1) -> even the best-case input only reaches NOF=0.5. Use this to catch mis-calibrated thresholds in real deployments.",0.5,0.5,0.0,1e-09,True,False
I-19_saturation_positive,I,"Deliberately extreme unnormalized weights to test sigmoid overflow safety. z=30 should saturate NOF to (numerically) 1.0, not error/NaN/overflow.",1.0,0.9999999999999065,-9.348077867343818e-14,1e-09,True,False
I-20_saturation_negative,I,Mirror of I-19 at the opposite extreme: z=-30 should saturate NOF to ~0.0.,0.0,9.3576229688393e-14,9.3576229688393e-14,1e-09,True,False
II-8_equal_weight_domain_mean,II,[ASSUMPTION-FLAGGED] Equal-weighted mean of 3 NOF scores into one domain.,0.554167,0.5541666666666667,-3.333333332689037e-07,0.0001,True,True
II-9_explicit_weighted_domain_mean,II,"[ASSUMPTION-FLAGGED] Explicitly-weighted mean, mirroring Stratum I's own weighting pattern.",0.66,0.6599999999999999,-1.1102230246251565e-16,1e-09,True,True
III-10_additive_vs_multiplicative_collapse_demo_additive,III,"The reviewer's own example: one weak domain (.3) among two strong ones (.9, .9), equal weights. Demonstrates the two aggregation forms encode DIFFERENT governance theories, not the same math.",0.7,0.7,0.0,0.0001,True,False
III-10_additive_vs_multiplicative_collapse_demo_multiplicative,III,"The reviewer's own example: one weak domain (.3) among two strong ones (.9, .9), equal weights. Demonstrates the two aggregation forms encode DIFFERENT governance theories, not the same math.",0.624025,0.6240251469155712,1.469155711530945e-07,0.0001,True,False
